price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,nbr_bedrooms,equipped_kitchen,terrace_sqm,garden_sqm,state_building,primary_energy_consumption_sqm,heating_type,other_amenities
3100000.0,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8300,51.3268775,3.3072642,2007.0,285.0,6.0,HYPER_EQUIPPED,0.0,0.0,GOOD,156.0,GAS,1
290000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2318755,2.9211131,2023.0,72.0,2.0,MISSING,10.0,0.0,GOOD,0.0,MISSING,0
350000.0,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1000,50.8682739,4.3608601,1962.0,180.0,7.0,INSTALLED,75.0,45.0,MISSING,426.0,FUELOIL,2
369000.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8420,51.3008569,3.0779043,1984.0,145.0,3.0,MISSING,0.0,0.0,GOOD,353.0,ELECTRIC,1
495000.0,HOUSE,EXCEPTIONAL_PROPERTY,Flanders,West Flanders,Kortrijk,8570,50.8111189,3.482344,1900.0,107.0,3.0,MISSING,0.0,,TO_RESTORE,1126.0,FUELOIL,1
239000.0,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9600,50.7492846,3.6088201,1930.0,150.0,4.0,HYPER_EQUIPPED,15.0,50.0,JUST_RENOVATED,161.0,GAS,1
549000.0,HOUSE,VILLA,Flanders,Antwerp,Turnhout,2430,51.0853509,5.0783565,2002.0,440.0,3.0,MISSING,56.0,750.0,GOOD,131.0,GAS,1
243000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2300,51.3235457,4.9453042,2010.0,77.0,1.0,MISSING,10.0,0.0,AS_NEW,0.0,MISSING,1
365000.0,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8020,51.1562768,3.2608599,1875.0,,2.0,INSTALLED,0.0,0.0,AS_NEW,146.0,GAS,1
489000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8300,51.3424502,3.288149,1991.0,107.0,2.0,MISSING,0.0,0.0,GOOD,142.0,GAS,1
1000000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1970,50.8368231,4.4797352,1971.0,321.0,6.0,INSTALLED,10.0,570.0,GOOD,327.0,MISSING,2
1695000.0,HOUSE,MANSION,Flanders,West Flanders,Brugge,8000,51.2105431,3.2227467,1850.0,600.0,5.0,INSTALLED,65.0,0.0,TO_RENOVATE,414.0,GAS,1
250000.0,HOUSE,VILLA,Wallonia,Hainaut,Soignies,7190,50.5615977,4.1480013,1980.0,130.0,4.0,INSTALLED,0.0,0.0,TO_RENOVATE,493.0,ELECTRIC,0
295000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3300,50.8173271,4.9436388,1963.0,,3.0,SEMI_EQUIPPED,0.0,0.0,TO_RENOVATE,504.0,GAS,0
790000.0,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1070,50.8341729,4.3061798,1918.0,503.0,5.0,HYPER_EQUIPPED,1.0,1.0,MISSING,339.0,MISSING,2
265000.0,APARTMENT,PENTHOUSE,Wallonia,Liège,Liège,4050,50.5880839,5.6546815,2021.0,63.0,1.0,INSTALLED,8.0,0.0,AS_NEW,111.0,GAS,2
649500.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2358799,2.9331219,2021.0,120.0,2.0,INSTALLED,23.0,0.0,GOOD,43.0,MISSING,1
299000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2800,51.0261776,4.4849392,1975.0,110.0,2.0,MISSING,0.0,0.0,GOOD,211.0,GAS,1
1890000.0,HOUSE,EXCEPTIONAL_PROPERTY,Wallonia,Walloon Brabant,Nivelles,1400,50.6056898,4.2969303,1850.0,700.0,1.0,MISSING,,0.0,MISSING,267.0,GAS,1
210000.0,APARTMENT,FLAT_STUDIO,Flanders,Antwerp,Antwerp,2000,51.2137804,4.4102029,2015.0,41.0,1.0,INSTALLED,20.0,0.0,GOOD,147.0,GAS,1
565000.0,HOUSE,TOWN_HOUSE,Flanders,Flemish Brabant,Leuven,3440,50.8324009,5.1046392,1899.0,320.0,6.0,MISSING,0.0,1280.0,MISSING,547.0,FUELOIL,1
295100.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3545,50.9495581,5.1106217,2022.0,99.0,2.0,HYPER_EQUIPPED,0.0,0.0,GOOD,0.0,MISSING,2
339000.0,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8200,51.1838112,3.2196161,1959.0,193.0,4.0,MISSING,,0.0,GOOD,753.0,MISSING,0
399000.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8430,51.1454374,2.7629779,2010.0,120.0,3.0,INSTALLED,,0.0,GOOD,126.0,GAS,3
220000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8660,51.1007617,2.5856832,1958.0,71.0,2.0,INSTALLED,0.0,0.0,TO_RENOVATE,830.0,ELECTRIC,1
378000.0,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9402,50.8275296,4.0591724,1969.0,165.0,5.0,HYPER_EQUIPPED,,,JUST_RENOVATED,296.0,GAS,3
299000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3400,50.7243206,5.0635945,1899.0,170.0,4.0,INSTALLED,0.0,0.0,MISSING,667.0,GAS,2
368000.0,HOUSE,HOUSE,Flanders,West Flanders,Roeselare,8770,50.9137071,3.2466815,1996.0,142.0,3.0,HYPER_EQUIPPED,30.0,250.0,AS_NEW,131.0,GAS,1
170000.0,APARTMENT,FLAT_STUDIO,Flanders,Antwerp,Antwerp,2060,51.2301643,4.4170893,2014.0,30.0,1.0,HYPER_EQUIPPED,,0.0,AS_NEW,134.0,GAS,1
225000.0,HOUSE,HOUSE,Wallonia,Namur,Namur,5100,50.4645119,4.8833522,1900.0,123.0,2.0,NOT_INSTALLED,10.0,165.0,TO_RENOVATE,464.0,GAS,2
270000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8670,51.1167318,2.6260328,1963.0,80.0,4.0,MISSING,0.0,0.0,GOOD,594.0,GAS,0
239000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2140,51.2155403,4.4457396,1949.0,188.0,2.0,SEMI_EQUIPPED,0.0,0.0,TO_RENOVATE,950.0,GAS,2
615000.0,HOUSE,FARMHOUSE,Flanders,Limburg,Hasselt,3540,50.9536771,5.1661025,1850.0,188.0,3.0,MISSING,0.0,7950.0,TO_RENOVATE,683.0,FUELOIL,1
314000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4920,50.4721324,5.6726956,2022.0,170.0,4.0,NOT_INSTALLED,24.0,0.0,MISSING,50.0,GAS,3
395000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1040,50.8400596,4.4023952,1960.0,87.0,2.0,INSTALLED,8.0,0.0,AS_NEW,132.0,GAS,1
499500.0,HOUSE,EXCEPTIONAL_PROPERTY,Brussels-Capital,Brussels,Brussels,1210,50.851396,4.3776053,1930.0,200.0,6.0,HYPER_EQUIPPED,0.0,0.0,GOOD,402.0,GAS,2
2825000.0,HOUSE,MANOR_HOUSE,Flanders,East Flanders,Gent,9031,51.0313178,3.6050517,1930.0,330.0,6.0,MISSING,,0.0,GOOD,682.0,WOOD,2
325000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2000,51.2260799,4.4153595,1950.0,106.0,2.0,INSTALLED,0.0,0.0,JUST_RENOVATED,355.0,FUELOIL,3
155000.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1348,50.6687139,4.6170014,1975.0,38.0,1.0,SEMI_EQUIPPED,0.0,,GOOD,425.0,GAS,3
160000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6044,50.4421757,4.3945935,1874.0,247.0,4.0,SEMI_EQUIPPED,,0.0,TO_BE_DONE_UP,346.0,GAS,1
380000.0,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1160,50.820671,4.403336,1920.0,110.0,3.0,INSTALLED,15.0,80.0,GOOD,231.0,GAS,1
295000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8370,51.3146044,3.1255423,2024.0,79.0,2.0,MISSING,12.0,0.0,GOOD,0.0,MISSING,2
327000.0,HOUSE,HOUSE,Flanders,East Flanders,Gent,9870,50.9169156,3.4463268,1969.0,,4.0,MISSING,0.0,0.0,MISSING,400.0,MISSING,1
225000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9850,51.0732451,3.5358062,2017.0,,1.0,MISSING,0.0,0.0,MISSING,114.0,MISSING,1
175000.0,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Turnhout,2360,51.3170994,4.9812579,1985.0,101.0,2.0,MISSING,0.0,0.0,MISSING,255.0,GAS,1
179000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2300,51.3209954,4.934878,2011.0,69.0,1.0,MISSING,0.0,0.0,MISSING,177.0,GAS,1
265000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8370,51.3172958,3.1338828,1970.0,73.0,2.0,INSTALLED,0.0,0.0,GOOD,91.0,GAS,1
820000.0,HOUSE,VILLA,Flanders,Flemish Brabant,Leuven,3078,50.8761675,4.5551291,2004.0,283.0,3.0,USA_HYPER_EQUIPPED,15.0,400.0,GOOD,177.0,GAS,2
410000.0,HOUSE,APARTMENT_BLOCK,Flanders,East Flanders,Gent,9040,51.0620712,3.7552238,1959.0,,2.0,MISSING,0.0,0.0,MISSING,361.0,MISSING,0
399000.0,HOUSE,HOUSE,Wallonia,Liège,Huy,4180,50.4292827,5.5312853,1967.0,,4.0,USA_INSTALLED,8.0,440.0,GOOD,445.0,FUELOIL,2
